FLIGHT_IDENTIFIER,ARRIVAL_EPOCH,ARRIVAL_DELAY
N691WNBOSBWI23668710,23668787.0,-28.0
N488WNMCIMCO23668640,23668788.0,-12.0
N437WNTPABNA23668685,23668788.0,-7.0
N720WNAUSBWI23668630,23668790.0,-25.0
N913WNFLLATL23668680,23668790.0,-5.0
N470WNPVDMCO23668620,23668790.0,-15.0
N207WNMCIBWI23668655,23668791.0,-14.0
N733SAJAXBNA23668700,23668792.0,-3.0
N652SWHOUDAL23668740,23668793.0,-7.0
N758SWBWIRSW23668645,23668794.0,-21.0
N417WNALBBWI23668735,23668796.0,-24.0
N8632ADALLGA23668630,23668796.0,-29.0
N433LVBWISTL23668630,23668798.0,28.0
N441WNBWIISP23668750,23668799.0,-16.0
N7708EBDLRSW23668600,23668799.0,-6.0
N7752BGRRDEN23668625,23668799.0,-16.0
N231WNMCOBWI23668680,23668799.0,-11.0
N239WNSTLMCO23668670,23668799.0,-16.0
N225WNBWIPBI23668650,23668799.0,-6.0
N940WNBNACHS23668730,23668799.0,-11.0
N8327AMCOSJU23668650,23668800.0,-15.0
N738CBLASSNA23668750,23668800.0,-15.0
N8616CSJCLAS23668720,23668800.0,-5.0
N7814BDENATL23668645,23668801.0,-19.0
N362SWOMADEN23668715,23668801.0,-19.0
N486WNBWIMEM23668645,23668801.0,-4.0
N241WNSTLDAL23668710,23668802.0,-18.0
N508SWELPAUS23668715,23668802.0,-3.0
N200WNBWIPIT23668750,23668803.0,-7.0
N7744ABDLMCO23668630,23668803.0,-12.0
N8629AMSYHOU23668730,23668803.0,-2.0
N684WNDALDEN23668690,23668803.0,-17.0
N7813PBWIROC23668750,23668804.0,-21.0
N481WNPHXDAL23668670,23668804.0,4.0
N785SWCLTMDW23668670,23668804.0,4.0
N8624JMDWDCA23668720,23668805.0,-20.0
N222WNDALOKC23668760,23668805.0,-5.0
N298WNMDWBHM23668715,23668807.0,-13.0
N434WNMSYDCA23668680,23668808.0,-12.0
N283WNMDWDTW23668750,23668810.0,-5.0
N7733BTPAMSY23668720,23668810.0,-10.0
N276WNSMFPHX23668700,23668810.0,-10.0
N426WNDALFLL23668665,23668811.0,-9.0
N378SWCMHMDW23668745,23668811.0,-14.0
N8609ADALDCA23668680,23668813.0,-32.0
N250WNATLTPA23668730,23668814.0,-6.0
N658SWMSYMCO23668730,23668815.0,-10.0
N927WNATLIND23668725,23668816.0,-4.0
N467WNGEGDEN23668685,23668816.0,-9.0
N384SWINDMCO23668685,23668817.0,-8.0
N919WNMCOSTL23668675,23668817.0,-8.0
N908WNHOUPHX23668655,23668818.0,-12.0
N955WNBNABWI23668740,23668818.0,-22.0
N269WNDALMCO23668690,23668819.0,-16.0
N626SWBDLBWI23668755,23668820.0,-15.0
N440LVSLCPHX23668715,23668820.0,0.0
N774SWPITMDW23668735,23668820.0,-25.0
N8613KSLCDEN23668725,23668820.0,-5.0
N630WNSLCLAS23668755,23668820.0,-20.0
N419WNLASBUR23668770,23668821.0,-14.0
N7751AMDWDEN23668665,23668822.0,-8.0
N233LVAMADAL23668755,23668823.0,3.0
N742SWSFODEN23668675,23668823.0,-2.0
N294WNORFMDW23668675,23668824.0,4.0
N7734HHRLHOU23668775,23668825.0,-5.0
N749SWLGADAL23668580,23668825.0,0.0
N614SWONTDEN23668685,23668825.0,0.0
N345SABWIPWM23668750,23668826.0,-9.0
N212WNDALPHX23668665,23668826.0,1.0
N624SWSANSJC23668755,23668827.0,-8.0
N8308KMDWMCI23668740,23668829.0,-6.0
N480WNBHMBWI23668730,23668830.0,-15.0
N340LVBWIMHT23668755,23668830.0,-5.0
N7728DATLMDW23668715,23668831.0,-4.0
N203WNDALLAS23668665,23668832.0,-13.0
N934WNMKELAS23668600,23668833.0,-12.0
N7718BMCOBNA23668725,23668835.0,-5.0
N750SAABQPHX23668740,23668835.0,20.0
N8649AMDWPHX23668585,23668836.0,11.0
N747SAMDWBNA23668775,23668837.0,-18.0
N735SASTLLAS23668635,23668837.0,-23.0
N383SWDALELP23668730,23668837.0,2.0
N472WNMSYTPA23668765,23668838.0,-12.0
N717SAPHXMDW23668660,23668839.0,-16.0
N295WNCMHLAS23668575,23668839.0,-16.0
N8603FBWIBOS23668760,23668840.0,0.0
N395SWMEMTPA23668750,23668841.0,-14.0
N449WNBWIDTW23668755,23668842.0,-8.0
N617SWBWIDAY23668755,23668842.0,-8.0
N912WNDALTPA23668710,23668843.0,-2.0
N245WNATLFLL23668730,23668844.0,-6.0
N272WNBHMTPA23668770,23668846.0,-9.0
N355SWMCISTL23668805,23668846.0,-14.0
N641SWSJCLAS23668775,23668846.0,-9.0
N8305ECLEPHX23668560,23668847.0,7.0
N646SWHOUDAL23668800,23668847.0,-13.0
N457WNMDWLGA23668735,23668848.0,-7.0
N782SASTLBWI23668755,23668848.0,-27.0
N396SWINDRSW23668710,23668848.0,-17.0
N944WNATLDAL23668710,23668849.0,-6.0
N8637AMCILAS23668675,23668851.0,-14.0
N492WNDTWMDW23668790,23668853.0,-7.0
N764SWBWITPA23668700,23668853.0,-2.0
N751SWFLLBWI23668700,23668853.0,-2.0
N907WNLASPHX23668800,23668853.0,-12.0
N902WNFLLLAS23668540,23668855.0,-15.0
N407WNDENCAK23668705,23668855.0,-15.0
N201LVTPAATL23668770,23668855.0,0.0
N707SABWIBHM23668730,23668856.0,-14.0
N746SWBWIFLL23668705,23668856.0,-9.0
N967WNBWIATL23668755,23668856.0,-19.0
N8310CDCAMKE23668730,23668856.0,-4.0
N660SWSTLBOS23668730,23668856.0,-24.0
N8303RPHXBWI23668630,23668856.0,-24.0
N296WNBOSBWI23668775,23668857.0,-18.0
N917WNSFOLAS23668760,23668857.0,7.0
N786SWPHXHOU23668720,23668857.0,-8.0
N8322XMHTMDW23668700,23668857.0,-18.0
N236WNMSYDEN23668685,23668857.0,-3.0
N777QCLGACAK23668770,23668858.0,-22.0
N281WNDCATPA23668670,23668858.0,38.0
N8306HDALBNA23668775,23668859.0,-16.0
N527SWBWIDAL23668655,23668859.0,-6.0
N291WNELPDAL23668750,23668859.0,19.0
N275WNTPASTL23668720,23668860.0,-5.0
N8329BBDLDEN23668585,23668861.0,-4.0
N780SWMCOATL23668780,23668861.0,-9.0
N945WNDCAMDW23668735,23668862.0,-8.0
N910WNFLLPHL23668705,23668862.0,-3.0
N916WNHOUATL23668765,23668864.0,-11.0
N403WNPNSBNA23668795,23668864.0,-11.0
N280WNATLMSY23668705,23668865.0,60.0
N743SWMDWCMH23668815,23668867.0,-13.0
N657SWHOUMSY23668810,23668867.0,-3.0
N7736ALASHOU23668700,23668868.0,-2.0
N642WNATLCMH23668770,23668869.0,-1.0
N406WNLASBUR23668820,23668870.0,-15.0
N249WNHOUOKC23668770,23668870.0,20.0
N725SWSDFMDW23668800,23668870.0,-5.0
N968WNATLPBI23668770,23668870.0,-10.0
N703SWPDXLAS23668760,23668870.0,-15.0
N373SWMKEMCO23668720,23668871.0,-19.0
N706SWATLHOU23668720,23668872.0,12.0
N8607MSTLMDW23668805,23668872.0,2.0
N235WNHOUMCO23668750,23668872.0,-3.0
N7711NINDHOU23668720,23668873.0,-7.0
N712SWTPABWI23668755,23668873.0,-17.0
N346SWTPAIND23668740,23668874.0,-1.0
N8631AMCOMDW23668705,23668876.0,1.0
N8312CBWILAS23668560,23668876.0,-14.0
N952WNMSYATL23668805,23668876.0,-14.0
N7720FABQSAN23668760,23668876.0,1.0
N775SWRSWMKE23668695,23668876.0,1.0
N479WNDCAMSY23668705,23668878.0,-7.0
N685SWATLJAX23668665,23668879.0,139.0
N653SWSTLTPA23668760,23668879.0,-11.0
N397SWSDFTPA23668770,23668881.0,-9.0
N7735ADALMSY23668805,23668881.0,1.0
N759GSDTWLAS23668620,23668881.0,-19.0
N278WNAUSLAS23668675,23668881.0,21.0
N210WNMCOPIT23668750,23668882.0,-3.0
N522SWSATDAL23668825,23668882.0,-3.0
N415WNSNAPHX23668820,23668882.0,-8.0
N508SWAUSHOU23668835,23668882.0,-3.0
N8317MMCOLAS23668565,23668883.0,3.0
N521SWDALSTL23668805,23668884.0,-11.0
N925WNMSYLAS23668665,23668884.0,-21.0
N271LVATLLGA23668775,23668884.0,-26.0
N961WNRDUTPA23668775,23668884.0,-1.0
N354SWDENLAS23668780,23668885.0,-10.0
N221WNMCOSJU23668735,23668885.0,-15.0
N363SWPHXSLC23668785,23668885.0,5.0
N638SWSTLTUL23668815,23668887.0,-3.0
N8655DMDWTPA23668735,23668887.0,-8.0
N962WNBNADAL23668770,23668888.0,-2.0
N485WNBNALAS23668635,23668888.0,-7.0
N650SWORFMCO23668735,23668889.0,34.0
N618WNLASBOI23668800,23668889.0,-16.0
N411WNBWIMCO23668735,23668890.0,10.0
N733SABNACMH23668830,23668890.0,-10.0
N613SWCMHBWI23668835,23668891.0,-24.0
N524SWDALHOU23668830,23668891.0,1.0
N202WNPHXATL23668695,23668892.0,-8.0
N247WNPHLLAS23668555,23668892.0,-8.0
N229WNDENDAL23668775,23668893.0,3.0
N413WNBUFMCO23668740,23668894.0,-6.0
N8638ADALMDW23668785,23668894.0,-26.0
N450WNMHTTPA23668690,23668894.0,-11.0
N625SWFLLBWI23668750,23668894.0,-11.0
N359SWATLMSP23668735,23668895.0,-5.0
N931WNATLMKE23668755,23668895.0,15.0
N525SWHOUCRP23668840,23668895.0,5.0
N8650FMCOAUS23668730,23668896.0,-9.0
N8618NHOUSAT23668790,23668896.0,51.0
N200WNPITBWI23668850,23668896.0,-19.0
N8621ABWIDEN23668640,23668897.0,2.0
N608SWDENTUS23668775,23668897.0,2.0
N418WNDCADAL23668675,23668898.0,13.0
N8627BINDLAS23668660,23668898.0,-22.0
N8320JTPADEN23668675,23668899.0,-21.0
N297WNDCAIND23668800,23668899.0,-16.0
N957WNMKERSW23668735,23668899.0,-16.0
N240WNJAXBNA23668805,23668900.0,5.0
N603SWHOUECP23668820,23668900.0,-15.0
N211WNMCOMKE23668730,23668900.0,-5.0
N394SWSJCONT23668835,23668901.0,-4.0
N392SWSTLOKC23668815,23668903.0,-7.0
N8315CMCOISP23668760,23668903.0,-2.0
N7815LATLRDU23668835,23668903.0,-12.0
N8612KMDWBUF23668830,23668903.0,-7.0
N423WNFLLATL23668785,23668904.0,4.0
N231WNBWIBDL23668845,23668904.0,-6.0
N949WNTPAPVD23668750,23668904.0,-6.0
N773SALASABQ23668835,23668906.0,-14.0
N8309CMCODEN23668665,23668906.0,-14.0
N441WNISPBWI23668850,23668906.0,-19.0
N634SWPVDBWI23668820,23668907.0,2.0
N921WNBWIMCI23668725,23668907.0,2.0
N956WNRDULAS23668590,23668907.0,-3.0
N628SWMCOBDL23668760,23668908.0,-7.0
N627SWSMFPHX23668780,23668908.0,23.0
N422WNFLLDAL23668730,23668909.0,-16.0
N465WNTPAPHL23668775,23668909.0,-11.0
N621SWPHXSJC23668795,23668909.0,-1.0
N263WNBNAMDW23668830,23668909.0,-16.0
N528SWHOUDAL23668860,23668910.0,-10.0
N933WNATLDCA23668810,23668910.0,-5.0
N284WNMKEPHX23668670,23668910.0,0.0
N7726APHXDEN23668815,23668910.0,-10.0
N762SWATLBWI23668815,23668910.0,-15.0
N958WNMDWFLL23668745,23668911.0,-9.0
N261WNSANLAS23668850,23668911.0,-9.0
N419WNBURLAS23668795,23668912.0,57.0
N227WNMDWEWR23668810,23668912.0,-18.0
N8635FBWIAUS23668680,23668912.0,-3.0
N654SWBDLBWI23668845,23668912.0,-8.0
N7703ASEAPHX23668755,23668912.0,-8.0
N691WNBWIRDU23668850,23668912.0,-3.0
N468WNFLLDEN23668650,23668913.0,-12.0
N714CBSANDAL23668750,23668913.0,-7.0
N731SAEWRMSY23668715,23668913.0,-22.0
N514SWAUSDAL23668865,23668913.0,-7.0
N8647APITDEN23668690,23668913.0,-7.0
N451WNJAXDEN23668685,23668913.0,-12.0
N700GSLGAMDW23668765,23668914.0,-11.0
N438WNBNAMCO23668820,23668915.0,-10.0
N715SWDAYDEN23668735,23668915.0,-15.0
N940WNCHSBWI23668840,23668915.0,-15.0
N930WNBNADTW23668830,23668916.0,-9.0
N474WNLITPHX23668730,23668917.0,-8.0
N756SASANSJC23668855,23668917.0,-18.0
N232WNDTWDEN23668725,23668917.0,-8.0
N799SWATLDEN23668715,23668917.0,-8.0
N228WNCMHDEN23668715,23668918.0,-7.0
N784SWSATPHX23668775,23668919.0,-6.0
N7722BTPACMH23668785,23668919.0,4.0
N8608NMDWDEN23668755,23668919.0,-1.0
N220WNLAXLAS23668865,23668920.0,-10.0
N640SWTPACAK23668785,23668920.0,-5.0
N8311QDENPHX23668815,23668920.0,-10.0
N461WNSANMDW23668700,23668921.0,-29.0
N749SWDALHOU23668860,23668921.0,-4.0
